class,occurrences,candidate_group,page_only_candidate
.td-iepdoc-meta,1,iepdoc-meta,review
.td-iepdoc-name,1,iepdoc-name,review
.td-iepdoc-signed,1,iepdoc-signed,review
.td-iepgoal,1,iepgoal,review
.td-iepgoal-area,1,iepgoal-area,review
.td-iepgoal-bar,1,iepgoal-bar,review
.td-iepgoal-fill,1,iepgoal-fill,review
.td-iepgoal-head,1,iepgoal-head,review
.td-iepgoal-pct,1,iepgoal-pct,review
.td-iepgoal-text,1,iepgoal-text,review
.td-iepmeeting,1,iepmeeting,review
.td-iepmeeting-attendee,2,iepmeeting-attendee,review
.td-iepmeeting-attendees,1,iepmeeting-attendees,review
.td-iepmeeting-eyebrow,1,iepmeeting-eyebrow,review
.td-iepmeeting-time,1,iepmeeting-time,review
.td-iepmeeting-title,1,iepmeeting-title,review
.td-iepprog,1,iepprog,review
.td-iepprog-axis,1,iepprog-axis,review
.td-iepprog-head,1,iepprog-head,review
.td-iepprog-svg,1,iepprog-svg,review
.td-iepprog-title,1,iepprog-title,review
.td-iepprog-trend,1,iepprog-trend,review
.td-iepstudent,1,iepstudent,review
.td-iepstudent-avatar,1,iepstudent-avatar,review
.td-iepstudent-info,1,iepstudent-info,review
.td-iepstudent-meta,1,iepstudent-meta,review
.td-iepstudent-name,1,iepstudent-name,review
.td-iepstudent-row,1,iepstudent-row,review
.td-iepstudent-tag,1,iepstudent-tag,review
.td-iepstudent-tag--accent,1,iepstudent-tag,review
.td-iepstudent-tag--brand,1,iepstudent-tag,review
.td-iepsvc,2,iepsvc,review
.td-iepsvc-date,1,iepsvc-date,review
.td-iepsvc-min,1,iepsvc-min,review
.td-iepsvc-prov,1,iepsvc-prov,review
.td-iepsvc-type,1,iepsvc-type,review
.td-ieptrans,1,ieptrans,review
.td-ieptrans-dot,3,ieptrans-dot,review
.td-ieptrans-due,1,ieptrans-due,review
.td-ieptrans-step,6,ieptrans-step,review
.td-ieptrans-text,2,ieptrans-text,review
.td-inlert,1,inlert,review
.td-inlert--error,2,inlert-,review
.td-inlert--info,2,inlert-,review
.td-inlert--success,2,inlert-,review
.td-inlert--warning,2,inlert-,review
.td-inlert-body,1,inlert-body,review
.td-inlert-icon,5,inlert-icon,review
.td-inlert-text,1,inlert-text,review
.td-inlert-title,1,inlert-title,review
.td-inline-edit,2,inline-edit,review
.td-inline-edit-input,2,inline-edit,review
.td-inline-edit-key,1,inline-edit,review
.td-inline-edit-row,1,inline-edit,review
.td-inline-edit-text,1,inline-edit,review
.td-input,3,input,review
.td-input-icon,3,input-icon,review
.td-input-trailing,3,input-trailing,review
.td-input-wrap,18,input-wrap,review
.td-isostack,3,isostack,review
.td-isostack-card,6,isostack-card,review
.td-isostack-eyebrow,1,isostack-eyebrow,review
.td-isostack-title,1,isostack-title,review
.td-kbd,2,kbd,review
.td-kbdchord,2,kbdchord,review
.td-kbdchord-label,1,kbdchord-label,review
.td-kbdchord-plus,1,kbdchord-plus,review
.td-kpi,1,kpi,review
.td-kpi-delta,1,kpi-delta,review
.td-kpi-delta--down,1,kpi-delta,review
.td-kpi-delta--neutral,1,kpi-delta,review
.td-kpi-delta--up,1,kpi-delta,review
.td-kpi-eyebrow,1,kpi-eyebrow,review
.td-kpi-grid,5,kpi-grid,review
